Classification,upper_north_sp,upper_west_sp,upper_south_sp,upper_east_sp,shroud_north,shroud_west,shroud_south,shroud_east,shroud_north_pst1hr,shroud_west_pst1hr,shroud_south_pst1hr,shroud_east_pst1hr,upper_west_zone,upper_north_zone,upper_east_zone,upper_south_zone,OAT,OAT_pst1hr,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
COLD,100,111.4401,109.8801,100,42.40462,43.74757,45.94079,48.73723,42.104,42.49925,43.00088,45.25515,72.6085,68.98429,73.33871,72.87952,43.98491,43.03524,100.95,5,76,42.08,40.64
COLD,100,100,100,100,43.02089,44.05375,54.1005,53.29679,42.40462,43.12747,43.92885,46.17191,73.14886,69.79832,74.81374,73.7318,44.95956,43.03524,100.91,5,72,43.7,41.9
COLD,100,100,100,100,43.32063,45.37167,52.73947,53.24395,42.40462,43.45035,44.61073,47.40115,73.59859,69.9005,74.73119,74.00015,44.95956,43.03524,100.91,5,72,43.7,41.9
HOT,100,100,100,100,44.24416,47.7151,59.88767,61.89703,42.40462,43.74757,49.93798,51.18878,73.10482,69.16018,73.68124,73.45805,45.91748,43.98491,100.89,11,65,46.4,43.52
HOT,100,100,100,100,46.73667,49.33625,68.24855,51.78352,46.4395,50.36903,68.00043,64.15686,71.40323,68.45463,73.04282,75.23507,48.71581,49.53006,100.83,15,61,48.02,45.86
HOT,100,100,100,100,47.03758,52.92512,69.32087,51.1406,46.73693,49.32322,70.10659,59.4287,71.17834,68.37093,72.81521,75.22736,48.71581,49.53006,100.83,15,61,48.02,45.86
HOT,100,100,100,100,47.03758,57.54987,69.43264,51.1406,46.73693,49.62502,70.89865,55.06915,71.07742,68.40336,72.65393,75.1452,49.70283,50.45835,100.83,15,61,48.02,45.86
COLD,100,100,100,100,48.85756,58.41057,61.125,52.77879,47.03758,57.54987,69.43264,51.1406,73.49281,69.40039,72.28411,75.07761,49.70799,49.70283,100.76,9,51,50.18,48.02
HOT,100,100,100,100,48.85756,54.26863,53.40938,52.79996,48.85756,56.25145,56.13496,52.47593,73.65502,70.05648,73.10642,73.23511,49.70799,49.70799,100.71,5,56,48.92,48.38
COLD,100,100,100,100,48.85756,54.26863,53.40938,52.79996,48.85756,56.25145,56.13496,52.47593,73.65502,70.05648,73.10642,73.23511,49.70799,49.70799,100.71,5,56,48.92,48.38
COLD,100,100,100,100,48.85756,54.62101,53.10339,53.12835,48.85756,55.95583,55.85059,53.7621,73.68096,70.09649,73.30248,73.28643,49.70799,49.70799,100.71,5,56,48.92,48.38
COLD,100,100,100,100,43.50574,45.64962,45.71357,48.37857,51.71236,47.85919,48.2428,49.53246,73.20673,69.40255,73.52808,72.86462,46.11728,47.67955,100.42,15,91,43.88,42.26
HOT,100,100,100,100,47.52563,48.32399,48.74717,51.41424,47.21756,50.75608,54.57494,57.42918,71.45614,69.19877,72.5713,72.14222,49.25767,47.6018,100.58,13,87,47.48,45.14
HOT,100,100,100,100,47.50702,49.19798,51.25302,51.11198,46.89222,56.91095,57.74812,52.53113,72.08601,69.44353,72.55633,72.74926,48.50737,47.91743,100.58,22,79,50,48.02
HOT,100,100,100,100,37.10899,36.4586,37.78166,48.55322,49.85194,36.15977,38.0355,39.06452,72.77912,69.81042,73.90334,73.48363,37.52879,38.55488,101.59,11,80,37.76,37.04
COLD,100,100,100,100,37.12745,38.47378,50.34899,62.42502,37.10899,36.4586,38.07907,43.02781,73.41842,70.2584,75.43714,74.5928,38.45348,38.18879,101.61,17,76,39.2,37.22
COLD,100,100,100,100,37.12745,38.47378,51.48151,60.33087,37.10899,36.4586,37.78166,48.55322,73.52871,70.28824,75.70898,74.89807,40.09697,37.52879,101.61,17,76,39.2,37.22
COLD,100,100,100,100,37.42524,38.47378,52.99327,60.01646,36.80901,37.18234,38.40046,52.50071,73.70483,70.42913,75.8256,75.16659,40.09697,37.52879,101.61,17,76,39.2,37.22
COLD,100,100,100,100,37.42524,38.47378,52.99327,60.01646,36.80901,37.18234,38.40046,52.50071,73.70483,70.42913,75.8256,75.16659,40.09697,37.52879,101.61,17,76,39.2,37.22
COLD,100,100,100,100,38.34383,40.8138,52.03134,53.59872,37.12745,38.47378,50.34899,62.42502,73.90742,70.39191,75.59148,75.98571,40.70909,38.45348,101.66,15,69,40.82,39.02
COLD,100,100,100,100,37.80004,39.84575,40.30922,41.95104,37.49263,38.29595,39.06829,40.67052,72.85653,70.60891,75.03876,74.62872,39.75126,39.13716,101.6,8,67,39.38,38.12
COLD,100,100,100,100,37.80004,39.84575,40.30922,41.95104,37.49263,38.29595,39.06829,40.67052,72.85653,70.60891,75.03876,74.62872,39.75126,39.13716,101.6,8,67,39.38,38.12
COLD,100,100,100,100,38.10896,41.53274,41.92627,43.59471,37.49263,38.59979,39.39038,40.97993,73.05542,70.88013,75.27548,74.72333,39.75126,39.13716,101.57,5,65,40.46,39.38
COLD,100,100,100,100,38.41554,41.83065,42.23569,44.57899,37.49263,38.59979,39.6942,40.97993,73.23489,70.92879,75.18322,74.75494,40.36651,39.44169,101.57,5,65,40.46,39.38
COLD,100,100,100,100,39.01176,42.19078,42.9113,45.87402,37.80004,39.84575,40.30922,41.63449,73.22636,71.0332,75.10416,74.66412,40.36651,39.44169,101.57,5,65,40.46,39.38
HOT,100,100,100,100,41.83432,47.63748,55.68853,51.16528,41.22749,43.97939,48.49181,51.5229,75.06944,71.84553,76.11459,77.03263,44.67176,42.92225,101.46,15,66,42.8,41.18
COLD,100,100,100,100,41.83432,47.63748,55.68853,51.16528,41.22749,43.97939,48.49181,51.5229,75.06944,71.84553,76.11459,77.03263,44.67176,42.92225,101.46,15,66,42.8,41.18
COLD,100,100,100,100,41.83432,47.63748,55.68853,51.16528,41.22749,43.97939,48.49181,51.5229,75.06944,71.84553,76.11459,77.03263,44.67176,42.92225,101.46,15,66,42.8,41.18
COLD,100,100,100,100,41.83432,47.63748,55.68853,51.16528,41.22749,43.97939,48.49181,51.5229,75.06944,71.84553,76.11459,77.03263,44.67176,42.92225,101.46,15,66,42.8,41.18
COLD,100,100,100,100,43.66825,55.76683,50.24263,48.5266,42.75367,56.24568,56.79559,47.91816,73.90183,69.28643,71.79584,72.82922,44.3443,43.69157,101.18,11,71,44.6,43.16
COLD,100,100,100,100,41.29516,41.35653,42.48015,44.21007,46.6204,40.4434,40.89921,43.24921,73.75546,70.43924,74.46651,73.79132,42.63214,42.03104,99.9,21,82,42.98,41.18
COLD,100,100,100,100,41.59224,42.264,43.09504,44.82549,41.29516,41.35653,42.48015,44.21007,74.1229,70.30363,75.00427,74.23508,42.33184,42.63214,99.97,26,73,42.98,42.8
COLD,100,100,100,100,41.59224,42.264,43.73672,45.1294,41.29516,41.65708,42.78509,44.50751,74.1921,70.19373,74.88895,74.23858,42.33184,42.63214,99.97,26,73,42.98,42.8
HOT,100,100,100,100,42.49815,44.679,46.1461,46.89447,41.59224,43.15722,46.1706,47.07364,73.71442,69.59244,74.54902,72.17382,43.58548,42.63902,100.04,24,79,44.24,42.26
HOT,100,100,100,100,43.41443,44.07104,45.51977,46.69794,42.49815,44.69722,46.49245,46.95464,73.5272,69.5427,74.10299,71.45057,44.18943,43.58548,100.05,24,70,45.14,43.52
COLD,100,100,100,100,43.41443,44.07104,45.51977,46.69794,42.49815,44.69722,46.49245,46.95464,73.5272,69.5427,74.10299,71.45057,44.18943,43.58548,100.05,24,70,45.14,43.52
