Classification,lower_north_sp,lower_west_sp,lower_south_sp,lower_east_sp,shroud_north,shroud_west,shroud_south,shroud_east,shroud_north_pst1hr,shroud_west_pst1hr,shroud_south_pst1hr,shroud_east_pst1hr,lower_west_zone,lower_north_zone,lower_east_zone,lower_south_zone,OAT,OAT_pst1hr,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
HOT,140,140,140,100,40.47799,47.81362,50.46444,46.57804,40.17658,45.41796,48.05291,47.58834,73.84513,72.54018,73.71333,74.75306,42.21259,41.52385,101.71,21,61,43.16,42.44
HOT,140,140,140,100,40.46112,42.23502,44.12069,44.48035,40.76605,44.1228,45.54866,45.76876,72.15244,71.82993,70.96017,71.60989,41.10187,41.42278,101.69,26,61,42.44,41.54
HOT,140,140,140,100,37.49263,38.29595,39.06829,40.67052,37.49263,37.35749,38.4254,40.34172,72.39004,71.40235,72.27549,73.13383,39.13716,38.4892,101.57,9,74,38.3,37.76
HOT,90,90,90,100,41.59224,41.9645,43.09504,44.81108,40.99192,40.44954,40.89921,43.24921,75.04781,72.77792,73.05966,74.20889,42.63214,42.03104,99.9,21,82,42.98,41.18
HOT,90,90,90,100,41.59224,42.264,43.09504,44.81108,40.99192,40.44954,41.2026,43.24921,75.06976,72.89185,73.0165,73.61935,42.63214,42.03104,99.97,26,73,42.98,42.8
COLD,90,90,90,100,46.46589,53.93194,52.03818,49.98314,44.93752,54.76838,53.68651,48.67919,74.05085,71.67881,70.43569,71.29182,47.06497,46.09184,100.15,35,49,49.46,48.02
HOT,140,140,140,100,40.01212,38.66887,38.79617,47.33844,40.00881,38.05197,37.85138,40.20301,72.90675,70.86367,72.11965,73.32495,40.40843,40.10965,101,4,81,35.96,33.62
HOT,140,140,140,100,40.31339,38.9676,39.12392,50.89403,40.00881,38.05197,37.85138,40.20301,73.52818,71.01105,72.50113,73.9777,40.40843,40.10965,101.06,8,79,37.4,33.62
COLD,140,140,140,106.2061,46.21883,52.12376,70.46339,51.56296,44.9948,46.1148,65.73839,54.96465,71.53136,71.20771,72.31496,74.10651,48.57016,47.22778,101.04,15,74,48.02,45.32
HOT,90,90,90,114.5093,46.85699,69.46265,69.66638,50.95213,45.91523,69.49426,74.25397,50.59992,74.81562,71.99944,72.22848,73.76617,47.97678,48.22998,100.96,11,67,48.2,47.12
